SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	OMIM_CDS	UNIPROT_CDS	BioGRID_IES	Reactomepathway_IES	IntAct_IES
C0009447	C0836924	C2748542	C2748542	C2748542	C2748542	C0009447	C0009447	C1257931	C1257931	C1257931
C2239176	C0678222	C2931002	C3151617	C4521678	C2239176	C0600176	C0600176	C2239176	C2239176	C0087031
C2931002	C3809221	C1845902	C3809221	C3151617	C2931002	C1838604	C1838604	C0263628	C0263628	C0238198
C1845902	C1851536	C0007194	C1851536	C3809221	C1567742	C1956147	C1956147	C0011860	C0205650	C0004238
C3658290	C0008370	C0392514	C0008370	C1851536	C1567743	C3658266	C3658266	C0270715	C0458247	C0238281
C0268747	C0268747	C0243050	C2931002	C0015371	C1845902	C3658267	C3658267	C0205650	C2931002	C0024668
C1262760	C4704874	C4722277	C1845902	C0008370	C1567744	C3658290	C3658290	C2931002	C0205651	C0024667
C0243050	C1458155	C0029231	C1839884	C2931002	C0268747	C4277682	C4277682	C4277682	C0007194	C0010606
C0949857	C0007194	C4084822	C3280094	C1845902	C1567741	C0027627	C0027627	C0205651	C4505456	C4704862
C0949855	C0392514	C0949857	C0007194	C0917816	C1458155	C1845902	C1845902	C0027819	C0032460	C0032460
C0949856	C0006142	C0001973	C3714756	C3280094	C0007194	C1458155	C1458155	C0007194	C0029231	C4552091
C0410529	C0243050	C0949855	C4722277	C0268747	C0243050	C1262760	C1262760	C1262760	C0152013	C0003873
C0025202	C1853249	C4225325	C1853249	C3714756	C4722277	C1257931	C1257931	C0751958	C4552091	C0023893
C1563937	C4084822	C0949856	C4084822	C0272350	C0080218	C4553656	C4553656	C4505456	C3495559	C0235480
C1458155	C0007131	C0220633	C0018784	C3714756	C4084822	C0032460	C0032460	C0032460	C0220633	C3495559
C4225286	C0949857	C4551825	C0027066	C4722277	C0007131	C0235527	C0235527	C0029231	C4551825	C0152013
C0005586	C0949855	C3714756	C0949857	C1853249	C0949857	C0080218	C0080218	C0152013	C0025202	C0007097
C0339573	C0949856	C0410529	C0949855	C4084822	C0949855	C4082304	C4082304	C4552091	C0267380	C1136382
C0014544	C1257931	C0025202	C4225325	C0018784	C4225325	C0007131	C0007131	C0011853	C4316881	C0033578
C0376358	C3714756	C1458155	C0949856	C0027066	C0949856	C0342573	C0342573	C3495559	C4704874	C3468561
C0751956	C0410529	C4316881	C4551825	C0949857	C1257931	C0949857	C0949857	C4551825	C0917816	C0496899
C1257877	C1563937	C4540493	C0410529	C0949855	C4551825	C0949855	C0949855	C0025202	C3468561	C2585653
C0752097	C3809216	C1414216	C3809216	C4225325	C3714756	C0949856	C0949856	C4316881	C2585653	C1862941
C4551479	C0002452	C0376384	C1970021	C0949856	C0410529	C3495559	C3495559	C4704874	C0007134	C4704874
C0020459	C1970021	C4048158	C4085243	C4551825	C0006663	C0410529	C0410529	C0917816	C0013222	C0279702
C4225298	C4225286	C0007134	C4084712	C3714756	C0272170	C1563937	C1563937	C1135196	C0043094	C4551993
C0152427	C0033578	C3554399	C4540493	C1837029	C4551961	C0267380	C0267380	C3468561	C3658290	C0376358
C0220704	C4085243	C0013222	C1414216	C3277671	C4225286	C0002452	C0002452	C2585653	C0038580	C1862939
C0238463	C3711374	C0339573	C0546264	C0410529	C0917816	C4316881	C4316881	C0007134	C0376358	C0376407
C0752098	C4540493	C0014544	C0162359	C3809216	C4540493	C4551961	C4551961	C1708349	C0205647	C0005398
C0023893	C1527306	C0038580	C3280616	C1970021	C1414216	C0272170	C0272170	C0013222	C0205646	C1306837
C1535926	C4313693	C0376358	C0543888	C1855304	C0007134	C0878544	C0878544	C0043094	C0205649	C1535926
C0018975	C3280616	C1866810	C2676243	C0242583	C0005818	C2239176	C2239176	C3658290	C0751956	C0007786
C1266042	C3280612	C0752097	C3280612	C4225286	C4048158	C0376384	C0376384	C0038580	C0205648	C0025149
C1266043	C3554399	C0011849	C0005818	C1837218	C3554399	C1414216	C1414216	C0376358	C1257925	C0036341
C1266044	C0010495	C1510472	C4048158	C0008073	C0264558	C0376358	C0376358	C0205647	C0752097	C4722327
C0392164	C0345967	C3501611	C3554399	C4085243	C0339573	C0742803	C0742803	C0205646	C0206727	C0020538
C0278211	C0080024	C0028738	C0010495	C0543888	C0014544	C0268390	C0268390	C0205649	C0005956	C0205698
C0025363	C0376358	C0152427	C1303073	C3711374	C1864148	C0013222	C0013222	C0751956	C0496899	C0205699
C2931001	C0002768	C0220704	C0025149	C4084712	C0410179	C0279702	C0279702	C0205648	C0555198	C0205696
C0205874	C0025261	C0752098	C0014544	C0917816	C0002768	C0009405	C0009405	C2930974	C4551479	C0205697
C0205875	C1833118	C0038586	C0080024	C0011859	C4084842	C1864148	C1864148	C2930975	C1510472	C0009404
C3279840	C1257877	C4552089	C1291299	C4540493	C0027627	C0455988	C0455988	C2930976	C0752098	C0009375
C1306837	C0752097	C0023467	C0085110	C1864851	C1257877	C4505436	C4505436	C2930977	C0235480	C1527390
C0158252	C3501611	C1279412	C3860213	C4015029	C1866810	C0392156	C0392156	C1257925	C0205696	C1257925
C0032927	C0025202	C0392164	C1858266	C1414216	C0752097	C1257877	C1257877	C0752097	C0205697	C0022661
C4303860	C0007102	C0398691	C1866810	C1858266	C4551479	C0752097	C0752097	C0206727	C0038586	C0007134
C3280526	C1527366	C2931001	C0752097	C0035334	C3501611	C4551479	C4551479	C0005956	C0205698	C1458155
C0023931	C0752098	C3279840	C0011849	C0546264	C0007102	C0233750	C0233750	C0496899	C0205699	C0151744
C4310708	C1859773	C0011581	C4225298	C0004782	C0152427	C0007102	C0007102	C0555198	C0220636	C0153633
C0033141	C0376407	C4310708	C0581883	C0162359	C0220704	C0152427	C0152427	C1510472	C0023893	C0917816
C1970479	C0009402	C3810384	C3696898	C4313693	C3696898	C0220704	C0220704	C0752098	C1535926	C0149925
C0015625	C0086404	C0015625	C1863012	C3280616	C0752098	C0238463	C0238463	C0235480	C1266042	C0035126
C0033578	C0266568	C0033578	C0752098	C0543888	C4552089	C0752098	C0752098	C0205696	C4277682	C0750887
C0424605	C0242379	C0750937	C1859773	C2676243	C4225158	C0220636	C0220636	C0205697	C1266043	C0751291
C0239946	C1279412	C4015728	C0270541	C0265338	C1535926	C0023893	C0023893	C0038586	C1266044	C0006142
C3714636	C0392164	C0152423	C0266568	C3280612	C0018975	C4225158	C4225158	C0205698	C0023467	C3714758
C3714756	C0278211	C0030312	C0687120	C0005818	C1266042	C0018975	C0018975	C0205699	C0392164	C3714756
C0152423	C0001430	C4505436	C0035828	C4048158	C1266043	C1266042	C1266042	C1961112	C2931001	C0751847
C0030312	C0398691	C1563705	C1279412	C3554399	C1266044	C1266043	C1266043	C0023893	C3279840	C0751846
C1563705	C0009404	C0740858	C0398691	C0264558	C0344479	C1266044	C1266044	C1535926	C1306837	C0751845
C2745997	C2931001	C1563706	C4225296	C0010495	C0035828	C0344479	C0344479	C0018975	C1269683	C2239176
C1563706	C1961112	C0038433	C3275476	C0004782	C1279412	C3714756	C3714756	C1266042	C0011581	C0751849
C4228778	C3279840	C0178417	C0079298	C0085636	C0392164	C1969893	C1969893	C1266043	C0032927	C0751848
C0038433	C4505436	C4310744	C1857253	C1303073	C4304021	C4304021	C4304021	C1266044	C4303860	C3179349
C0178417	C2267233	C1839728	C2931001	C0025149	C0278211	C0025363	C0025363	C0023467	C4552766	C0279626
C0162809	C0340427	C4708599	C3715156	C0494261	C0398691	C1300202	C1300202	C0392164	C0023931	C0010068
C1838979	C1845050	C0750940	C3279840	C0014544	C0025363	C0175704	C0175704	C2931001	C4310708	C0085136
C1865872	C0001418	C4015160	C4510873	C1864148	C2931001	C0376634	C0376634	C0033578	C0041755	C0678222
C3463824	C3280526	C1863704	C3645536	C0080024	C3279840	C0023904	C0023904	C3279840	C0154659	C0740392
C0035126	C0019202	C3463824	C4303860	C0410179	C1306837	C0152013	C0152013	C1269683	C0009404	C0740391
C0340643	C0033141	C4551472	C3150207	C0002768	C0158252	C0086692	C0086692	C0750901	C0015625	C0279628
C1865926	C0270733	C1837008	C0086237	C1291299	C4303860	C4521256	C4521256	C1306837	C1704377	C0278510
C1269683	C0018802	C0340643	C0520806	C1292778	C2267233	C0400966	C0400966	C0011581	C1708349	C0020564
C2931891	C0018801	C0339527	C3280526	C0085110	C0520806	C0033578	C0033578	C0032927	C0235527	C0242379
C0750887	C1970479	C1269683	C0023931	C1858266	C3280526	C0349588	C0349588	C0750900	C0239946	C0740376
C1834558	C2931891	C2931891	C4310708	C0002886	C0023931	C0023931	C0023931	C0751852	C3714756	C0750974
C1837315	C0750937	C4721893	C0432235	C1858266	C4310708	C0033141	C0033141	C4552766	C0205834	C0750977
C0087086	C4015728	C1261473	C3810384	C3837958	C0033141	C0012684	C0012684	C0205641	C0030312	C0750979
C4721507	C0027708	C4225302	C3809042	C4084842	C0006142	C3810384	C3810384	C0751851	C1527336	C2931456
C0040761	C0872218	C3266898	C3150692	C1866810	C3810384	C3809042	C3809042	C0205643	C1136382	C1266043
C0027708	C3661525	C1701939	C0015625	C0752097	C3809042	C0036996	C0036996	C0205642	C0740858	C1266044
C3711374	C2745997	C1840529	C0086395	C0011849	C3150692	C0424605	C0424605	C0205645	C1838979	C1266042
