DatasetName	SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	BioGRID_IES	Reactomepathway_IES	IntAct_IES
11317355	null	17.0	18.0	null	null	17.0	null	null	null
11317356	null	null	18.0	19.0	19.0	17.0	null	null	null
22925276	null	null	18.0	null	null	null	null	null	null
11317351	null	17.0	18.0	19.0	19.0	17.0	null	null	null
10714589	null	17.0	18.0	19.0	null	17.0	null	null	null
18922146	null	null	18.0	19.0	19.0	17.0	null	null	null
12393794	null	null	null	19.0	19.0	17.0	null	null	null
19324851	null	17.0	18.0	null	null	null	null	null	null
10714584	null	null	18.0	null	19.0	17.0	null	null	null
20073616	18.0	null	null	null	null	null	4.947077296210638	null	null
1975517	null	null	null	null	null	17.0	null	null	null
18985712	null	null	18.0	19.0	null	17.0	null	null	null
9727717	null	null	18.0	null	null	17.0	null	null	null
11092760	null	null	18.0	19.0	19.0	17.0	null	null	null
11092761	null	17.0	18.0	null	null	17.0	null	null	null
10486317	null	17.0	18.0	19.0	19.0	17.0	null	null	null
7522741	null	17.0	18.0	19.0	19.0	17.0	null	null	null
10486316	null	17.0	18.0	19.0	null	17.0	null	null	null
23315990	null	17.0	18.0	null	null	17.0	null	null	null
10486320	null	null	18.0	null	null	17.0	null	null	null
19324842	9.831377956042704	null	null	null	null	null	null	null	null
19324841	null	17.0	18.0	19.0	19.0	17.0	null	null	null
22000311	null	17.0	18.0	19.0	19.0	17.0	null	null	null
12187427	null	null	18.0	19.0	19.0	17.0	null	null	null
16513463	null	17.0	18.0	null	null	17.0	null	null	null
8316268	null	17.0	null	null	null	17.0	null	null	null
27677415	null	17.0	18.0	null	null	17.0	null	null	null
29112243	null	null	11.98791025242275	19.0	19.0	17.0	null	null	null
19299310	12.758117358109743	null	null	null	19.0	17.0	null	6.3976896942212	null
10917288	null	17.0	18.0	null	null	17.0	null	null	null
2542324	null	null	18.0	null	19.0	17.0	null	null	null
16251899	null	17.0	18.0	null	null	17.0	null	null	null
26545797	null	null	null	null	19.0	17.0	null	null	null
27423141	null	null	18.0	19.0	19.0	17.0	null	null	null
14608643	null	null	18.0	19.0	19.0	17.0	null	null	null
27930654	null	null	18.0	19.0	19.0	null	null	null	null
24952504	18.0	null	18.0	null	null	17.0	null	null	null
30619714	null	17.0	18.0	null	null	null	null	null	null
9150358	null	17.0	18.0	19.0	19.0	17.0	null	null	null
14608649	null	null	18.0	19.0	19.0	17.0	null	null	null
25293719	11.084140924538072	9.88793945822889	null	13.341721377888732	null	null	null	null	null
28256248	null	null	18.0	null	null	17.0	null	null	null
2544998	null	null	18.0	null	null	17.0	null	null	null
17322586	null	null	12.681057432982694	null	null	null	null	null	null
31235509	null	null	null	null	null	null	10.0	10.0	null
11810273	null	null	null	null	19.0	17.0	null	null	null
12163457	12.875900393766127	null	null	19.0	19.0	17.0	null	null	null
11810270	null	17.0	18.0	null	null	17.0	null	null	null
9211849	null	null	null	null	19.0	17.0	null	null	null
24700805	null	17.0	18.0	null	null	17.0	null	null	null
23541064	null	null	null	null	null	null	10.0	null	null
18936756	null	null	null	null	null	null	10.0	10.0	null
24628984	null	null	18.0	19.0	19.0	17.0	null	null	null
8101525	null	null	18.0	null	null	null	null	null	null
