NetworkName	datasets	LLS
UNIPROT_CDS	CTD_human	12.402732829165608
UNIPROT_CDS	UNIPROT	16.0
UNIPROT_CDS	ORPHANET	13.40528849387662
UNIPROT_CDS	CGI	10.207560657047875
UNIPROT_CDS	GENOMICS_ENGLAND	14.510590355654683
UNIPROT_CDS	CLINGEN	13.822224606344939
OMIM_CDS	CTD_human	14.530677122103471
OMIM_CDS	UNIPROT	17.953469781676326
OMIM_CDS	ORPHANET	14.86355011009048
OMIM_CDS	CGI	11.801297154194927
OMIM_CDS	GENOMICS_ENGLAND	16.095175402092103
OMIM_CDS	CLINGEN	15.094741674560636
MCS_SCS	29845112	18.0
MCS_SCS	11317355	18.0
MCS_SCS	22925276	18.0
MCS_SCS	11317356	18.0
MCS_SCS	24399447	18.0
MCS_SCS	19061984	18.0
MCS_SCS	11317351	18.0
MCS_SCS	27666773	18.0
MCS_SCS	23290139	18.0
MCS_SCS	11583312	18.0
MCS_SCS	16046871	18.0
MCS_SCS	9187667	18.0
MCS_SCS	10714589	18.0
MCS_SCS	10487661	18.0
MCS_SCS	18922146	18.0
MCS_SCS	10980537	18.0
MCS_SCS	9187674	18.0
MCS_SCS	1421398	18.0
MCS_SCS	17634419	18.0
MCS_SCS	19324851	18.0
MCS_SCS	10714584	18.0
MCS_SCS	10980539	18.0
MCS_SCS	24461919	18.0
MCS_SCS	18985712	18.0
MCS_SCS	9727717	18.0
MCS_SCS	11092760	18.0
MCS_SCS	11092761	18.0
MCS_SCS	7522741	18.0
MCS_SCS	10486317	18.0
MCS_SCS	26629949	18.0
MCS_SCS	10486316	18.0
MCS_SCS	23315990	18.0
MCS_SCS	10486320	18.0
MCS_SCS	19324841	18.0
MCS_SCS	28989145	18.0
MCS_SCS	22000311	18.0
MCS_SCS	12187427	18.0
MCS_SCS	16513463	18.0
MCS_SCS	10233323	18.0
MCS_SCS	27677415	18.0
MCS_SCS	29112243	11.98791025242275
MCS_SCS	12629077	18.0
MCS_SCS	26806019	18.0
MCS_SCS	10917288	18.0
MCS_SCS	8557257	18.0
MCS_SCS	16815967	18.0
MCS_SCS	2542324	18.0
MCS_SCS	19085939	18.0
MCS_SCS	20300527	11.98791025242275
MCS_SCS	16251899	18.0
MCS_SCS	27423141	18.0
MCS_SCS	14608643	18.0
MCS_SCS	27930654	18.0
MCS_SCS	24952504	18.0
MCS_SCS	30619714	18.0
MCS_SCS	14608649	18.0
MCS_SCS	9150358	18.0
MCS_SCS	26255299	18.0
MCS_SCS	28256248	18.0
MCS_SCS	2544998	18.0
MCS_SCS	17322586	12.681057432982694
MCS_SCS	31006512	18.0
MCS_SCS	27882484	18.0
MCS_SCS	10487664	18.0
MCS_SCS	10980545	18.0
MCS_SCS	27160269	18.0
